stage,angle,k,valid_angle_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_count,high_delta_rate
before,LeftElbow,1,0.9260978222063548,2582,9.568472790509212,24.843302390606503,38.39031747604053,161,0.06235476374903176
before,LeftElbow,6,0.9260978222063548,2542,20.621727303025985,49.3201161936997,64.5936241680147,479,0.1884343036978757
before,RightElbow,1,0.9375223134594788,2609,9.492768901768821,23.57407958786516,36.75240380982598,141,0.0540436949022614
before,RightElbow,6,0.9375223134594788,2571,21.995274471996243,48.704442245034755,68.93305043454592,512,0.19914430182808246
after,LeftElbow,1,0.9271688682613353,2587,8.39690947314036,21.16256935669156,32.76706366009315,113,0.04367993815229996
after,LeftElbow,6,0.9271688682613353,2548,18.946058371970157,45.47758667417464,58.38499223625078,415,0.16287284144427003
after,RightElbow,1,0.938236344162799,2613,8.70641544000088,21.123065437846815,33.22065919701778,114,0.04362801377726751
after,RightElbow,6,0.938236344162799,2575,21.584225283733648,48.46058410747855,68.91220279723238,486,0.1887378640776699
