AngleName,MAE,Median,Std,N
RightShoulder,15.351925411532036,12.372731686867091,12.674514451573714,2397
LeftShoulder,20.015846769982723,16.625730266874378,17.57854162767165,2391
RightElbow,22.592565734964538,19.832430722145745,16.172985807415472,2397
LeftElbow,22.675258228484477,17.747500548411146,19.396288727680002,2385
RightHip,17.22411507767752,13.087338541868348,15.101700564657987,2133
LeftHip,16.946516734763787,13.126371848844979,15.164822787270248,2131
RightKnee,16.713212010878312,11.55111687412888,16.50701788665416,2096
LeftKnee,18.223961528034536,12.018053860166429,19.478337409083235,2148
