AngleName,MAE,Median,Std,N
RightShoulder,24.939470507279857,18.456796973839168,20.960664641579847,2774
LeftShoulder,18.378213045663752,14.352801732952875,18.174390487502794,2774
RightElbow,34.63972095119847,30.499911981638387,22.17027053781092,2774
LeftElbow,25.734617563268696,22.934689749174616,18.738266280578735,2774
RightHip,18.968679616715676,13.939746792401557,17.7447526778343,2774
LeftHip,17.039422139400536,12.907695543899933,17.18455514316312,2774
RightKnee,27.878704284568357,21.957980762012753,21.199603459640993,2774
LeftKnee,30.95109992967319,27.230716116871296,23.533752618250247,2774
