Scenario,MAE,Median,Std,N
Baseline,26.64603362140787,19.28725469120736,25.020694310559012,3400
Occlusion,27.248145415067356,22.276529993583868,19.916528361792658,5616
Env. Interference,24.339855594321982,19.38487970344312,19.25798631334376,2408
Dynamic Action,36.07347977258149,31.395884710673105,25.654130325533615,304
Unclassified,22.699083647837615,17.102855227054896,19.904283280133658,10464
