Scenario,MAE,Median,Std,N
Baseline,16.68386111178251,13.77822089860938,14.39318300590652,2792
Occlusion,22.226196772393013,17.04487686758501,19.82647829001542,3770
Env. Interference,20.942953408006957,18.343725261776385,15.878371247940176,2232
Dynamic Action,19.858229305051044,19.4017582698637,13.270601343261784,264
Unclassified,17.467628108689574,13.588414055337214,16.249568464838248,9020
