angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,6,stereo_quality_min,low,0.3,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,stereo_quality_min,low,0.4,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
LeftElbow,6,stereo_quality_min,low,0.4,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,stereo_quality_min,low,0.5,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
LeftElbow,6,stereo_quality_min,low,0.5,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,epipolar_error_max,high,3.0,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
LeftElbow,6,epipolar_error_max,high,3.0,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,epipolar_error_max,high,6.0,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
LeftElbow,6,epipolar_error_max,high,6.0,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,epipolar_error_max,high,10.0,119,1,0.008403361344537815,1.0,0.0,1.0,nan,0.008403361344537815,1.0
LeftElbow,6,epipolar_error_max,high,10.0,114,6,0.05263157894736842,1.0,0.0,1.0,nan,0.05263157894736842,1.0
LeftElbow,1,epipolar_error_max,high,15.0,119,1,0.008403361344537815,0.9411764705882353,0.058823529411764705,1.0,0.0,0.008928571428571428,1.0625
LeftElbow,6,epipolar_error_max,high,15.0,114,6,0.05263157894736842,0.9298245614035088,0.07017543859649122,1.0,0.0,0.05660377358490566,1.0754716981132075
LeftElbow,1,epipolar_error_max,high,20.0,119,1,0.008403361344537815,0.7563025210084033,0.24369747899159663,1.0,0.0,0.011111111111111112,1.3222222222222224
LeftElbow,6,epipolar_error_max,high,20.0,114,6,0.05263157894736842,0.7894736842105263,0.21052631578947367,1.0,0.0,0.06666666666666667,1.2666666666666668
LeftElbow,1,epipolar_error_max,high,30.0,119,1,0.008403361344537815,0.6890756302521008,0.31092436974789917,1.0,0.0,0.012195121951219513,1.4512195121951221
LeftElbow,6,epipolar_error_max,high,30.0,114,6,0.05263157894736842,0.7280701754385965,0.2719298245614035,1.0,0.0,0.07228915662650602,1.3734939759036144
LeftElbow,1,reprojection_error_max,high,10.0,119,1,0.008403361344537815,0.6470588235294118,0.35294117647058826,1.0,0.0,0.012987012987012988,1.5454545454545456
LeftElbow,6,reprojection_error_max,high,10.0,114,6,0.05263157894736842,0.7192982456140351,0.2807017543859649,1.0,0.0,0.07317073170731707,1.3902439024390243
LeftElbow,1,reprojection_error_max,high,20.0,119,1,0.008403361344537815,0.47058823529411764,0.5294117647058824,1.0,0.0,0.017857142857142856,2.125
LeftElbow,6,reprojection_error_max,high,20.0,114,6,0.05263157894736842,0.5701754385964912,0.4298245614035088,1.0,0.0,0.09230769230769231,1.753846153846154
LeftElbow,1,reprojection_error_max,high,30.0,119,1,0.008403361344537815,0.226890756302521,0.773109243697479,1.0,0.0,0.037037037037037035,4.407407407407407
LeftElbow,6,reprojection_error_max,high,30.0,114,6,0.05263157894736842,0.2807017543859649,0.7192982456140351,1.0,0.0,0.1875,3.5625
LeftElbow,1,reprojection_error_max,high,40.0,119,1,0.008403361344537815,0.11764705882352941,0.8823529411764706,1.0,0.0,0.07142857142857142,8.5
LeftElbow,6,reprojection_error_max,high,40.0,114,6,0.05263157894736842,0.12280701754385964,0.8771929824561403,0.5,0.03,0.21428571428571427,4.071428571428571
LeftElbow,1,reprojection_error_max,high,60.0,119,1,0.008403361344537815,0.03361344537815126,0.9663865546218487,1.0,0.0,0.25,29.75
LeftElbow,6,reprojection_error_max,high,60.0,114,6,0.05263157894736842,0.03508771929824561,0.9649122807017544,0.16666666666666666,0.045454545454545456,0.25,4.75
LeftElbow,1,reprojection_error_max,high,80.0,119,1,0.008403361344537815,0.0,1.0,0.0,0.008403361344537815,nan,nan
LeftElbow,6,reprojection_error_max,high,80.0,114,6,0.05263157894736842,0.0,1.0,0.0,0.05263157894736842,nan,nan
RightElbow,1,detect_conf_min,low,0.1,119,0,0.0,0.2689075630252101,0.7310924369747899,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.1,114,4,0.03508771929824561,0.2982456140350877,0.7017543859649122,0.0,0.05,0.0,0.0
RightElbow,1,detect_conf_min,low,0.2,119,0,0.0,0.46218487394957986,0.5378151260504201,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.2,114,4,0.03508771929824561,0.4824561403508772,0.5175438596491229,0.25,0.05084745762711865,0.01818181818181818,0.5181818181818182
RightElbow,1,detect_conf_min,low,0.3,119,0,0.0,0.47058823529411764,0.5294117647058824,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.3,114,4,0.03508771929824561,0.49122807017543857,0.5087719298245614,0.5,0.034482758620689655,0.03571428571428571,1.0178571428571428
RightElbow,1,detect_conf_min,low,0.4,119,0,0.0,0.4789915966386555,0.5210084033613446,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.4,114,4,0.03508771929824561,0.5,0.5,0.75,0.017543859649122806,0.05263157894736842,1.5
RightElbow,1,detect_conf_min,low,0.5,119,0,0.0,0.5294117647058824,0.47058823529411764,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.5,114,4,0.03508771929824561,0.543859649122807,0.45614035087719296,1.0,0.0,0.06451612903225806,1.838709677419355
RightElbow,1,detect_conf_min,low,0.6,119,0,0.0,0.5378151260504201,0.46218487394957986,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.6,114,4,0.03508771929824561,0.5526315789473685,0.4473684210526316,1.0,0.0,0.06349206349206349,1.8095238095238095
RightElbow,1,pair_conf_min,low,0.1,119,0,0.0,0.15126050420168066,0.8487394957983193,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.1,114,4,0.03508771929824561,0.17543859649122806,0.8245614035087719,0.0,0.0425531914893617,0.0,0.0
RightElbow,1,pair_conf_min,low,0.2,119,0,0.0,0.3697478991596639,0.6302521008403361,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.2,114,4,0.03508771929824561,0.35964912280701755,0.6403508771929824,0.0,0.0547945205479452,0.0,0.0
RightElbow,1,pair_conf_min,low,0.3,119,0,0.0,0.47058823529411764,0.5294117647058824,nan,0.0,0.0,nan
RightElbow,6,pair_conf_min,low,0.3,114,4,0.03508771929824561,0.49122807017543857,0.5087719298245614,0.5,0.034482758620689655,0.03571428571428571,1.0178571428571428
