stage,angle,k,valid_angle_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_count,high_delta_rate
before,LeftElbow,1,0.9260978222063548,2582,9.568472790509212,24.843302390606503,38.39031747604053,161,0.06235476374903176
before,LeftElbow,6,0.9260978222063548,2542,20.621727303025985,49.3201161936997,64.5936241680147,479,0.1884343036978757
before,RightElbow,1,0.9375223134594788,2609,9.492768901768821,23.57407958786516,36.75240380982598,141,0.0540436949022614
before,RightElbow,6,0.9375223134594788,2571,21.995274471996243,48.704442245034755,68.93305043454592,512,0.19914430182808246
after,LeftElbow,1,0.9268118529096752,2585,9.30685583278608,23.779581578984455,37.47269123314595,146,0.05647969052224371
after,LeftElbow,6,0.9268118529096752,2546,20.192674022534362,48.39278786148029,63.511060006980586,473,0.18578161822466616
after,RightElbow,1,0.938236344162799,2613,9.203772135746918,22.477610056039328,34.31201723426294,126,0.04822043628013777
after,RightElbow,6,0.938236344162799,2575,21.974643444808972,49.75360388429599,67.52321503022021,511,0.19844660194174757
