stage,angle,k,valid_angle_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_count,high_delta_rate
before,LeftElbow,1,0.9260978222063548,2582,9.568472790509212,24.843302390606503,38.39031747604053,161,0.06235476374903176
before,LeftElbow,6,0.9260978222063548,2542,20.621727303025985,49.3201161936997,64.5936241680147,479,0.1884343036978757
before,RightElbow,1,0.9375223134594788,2609,9.492768901768821,23.57407958786516,36.75240380982598,141,0.0540436949022614
before,RightElbow,6,0.9375223134594788,2571,21.995274471996243,48.704442245034755,68.93305043454592,512,0.19914430182808246
after,LeftElbow,1,0.9271688682613353,2587,8.776116829345636,22.715965636589516,35.04699456362921,131,0.050637804406648626
after,LeftElbow,6,0.9271688682613353,2548,19.640687730374633,46.89796501796044,62.83801198452935,445,0.17464678178963894
after,RightElbow,1,0.938236344162799,2613,8.508149698945187,20.75653341560761,32.28176416081353,105,0.040183696900114814
after,RightElbow,6,0.938236344162799,2575,20.630042631580274,46.09430574439846,60.04114816454554,456,0.1770873786407767
