stage,angle,k,valid_angle_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_count,high_delta_rate
before,LeftElbow,1,0.9260978222063548,2582,9.568472790509212,24.843302390606503,38.39031747604053,161,0.06235476374903176
before,LeftElbow,6,0.9260978222063548,2542,20.621727303025985,49.3201161936997,64.5936241680147,479,0.1884343036978757
before,RightElbow,1,0.9375223134594788,2609,9.492768901768821,23.57407958786516,36.75240380982598,141,0.0540436949022614
before,RightElbow,6,0.9375223134594788,2571,21.995274471996243,48.704442245034755,68.93305043454592,512,0.19914430182808246
after,LeftElbow,1,0.9271688682613353,2587,8.536218721059555,21.729585725176282,33.57080199003208,119,0.04599922690374952
after,LeftElbow,6,0.9271688682613353,2548,19.47627648668654,46.24289582177467,59.92430660048263,437,0.17150706436420723
after,RightElbow,1,0.938236344162799,2613,8.946273253654315,21.80199718815476,33.949565697861814,121,0.04630692690394183
after,RightElbow,6,0.938236344162799,2575,22.03403242383528,49.42746824126933,69.16467639113547,506,0.19650485436893203
