stage,angle,k,valid_angle_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_count,high_delta_rate
before,LeftElbow,1,0.9260978222063548,2582,9.568472790509212,24.843302390606503,38.39031747604053,161,0.06235476374903176
before,LeftElbow,6,0.9260978222063548,2542,20.621727303025985,49.3201161936997,64.5936241680147,479,0.1884343036978757
before,RightElbow,1,0.9375223134594788,2609,9.492768901768821,23.57407958786516,36.75240380982598,141,0.0540436949022614
before,RightElbow,6,0.9375223134594788,2571,21.995274471996243,48.704442245034755,68.93305043454592,512,0.19914430182808246
after,LeftElbow,1,0.9271688682613353,2587,8.417380010009706,21.48990776227761,33.81430776399227,121,0.0467723231542327
after,LeftElbow,6,0.9271688682613353,2548,19.469872390669856,46.186973073123646,62.39573444698079,436,0.17111459968602827
after,RightElbow,1,0.938236344162799,2613,8.040385154572009,19.606607799386776,29.580958206260497,90,0.03444316877152698
after,RightElbow,6,0.938236344162799,2575,20.30806324181895,46.059322234495475,60.246852925183504,447,0.17359223300970875
