angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,6,epipolar_error_max,high,10.0,96,20,0.20833333333333334,1.0,0.0,1.0,nan,0.20833333333333334,1.0
LeftElbow,1,epipolar_error_max,high,15.0,101,9,0.0891089108910891,1.0,0.0,1.0,nan,0.0891089108910891,1.0
LeftElbow,6,epipolar_error_max,high,15.0,96,20,0.20833333333333334,0.9895833333333334,0.010416666666666666,1.0,0.0,0.21052631578947367,1.0105263157894735
LeftElbow,1,epipolar_error_max,high,20.0,101,9,0.0891089108910891,0.9504950495049505,0.04950495049504951,1.0,0.0,0.09375,1.0520833333333335
LeftElbow,6,epipolar_error_max,high,20.0,96,20,0.20833333333333334,0.9583333333333334,0.041666666666666664,1.0,0.0,0.21739130434782608,1.0434782608695652
LeftElbow,1,epipolar_error_max,high,30.0,101,9,0.0891089108910891,0.7920792079207921,0.2079207920792079,1.0,0.0,0.1125,1.2625000000000002
LeftElbow,6,epipolar_error_max,high,30.0,96,20,0.20833333333333334,0.8333333333333334,0.16666666666666666,1.0,0.0,0.25,1.2
LeftElbow,1,reprojection_error_max,high,10.0,101,9,0.0891089108910891,0.9504950495049505,0.04950495049504951,1.0,0.0,0.09375,1.0520833333333335
LeftElbow,6,reprojection_error_max,high,10.0,96,20,0.20833333333333334,0.9583333333333334,0.041666666666666664,1.0,0.0,0.21739130434782608,1.0434782608695652
LeftElbow,1,reprojection_error_max,high,20.0,101,9,0.0891089108910891,0.594059405940594,0.40594059405940597,1.0,0.0,0.15,1.6833333333333333
LeftElbow,6,reprojection_error_max,high,20.0,96,20,0.20833333333333334,0.625,0.375,1.0,0.0,0.3333333333333333,1.5999999999999999
LeftElbow,1,reprojection_error_max,high,30.0,101,9,0.0891089108910891,0.4752475247524752,0.5247524752475248,1.0,0.0,0.1875,2.104166666666667
LeftElbow,6,reprojection_error_max,high,30.0,96,20,0.20833333333333334,0.4791666666666667,0.5208333333333334,0.95,0.02,0.41304347826086957,1.9826086956521738
LeftElbow,1,reprojection_error_max,high,40.0,101,9,0.0891089108910891,0.39603960396039606,0.6039603960396039,0.8888888888888888,0.01639344262295082,0.2,2.2444444444444445
LeftElbow,6,reprojection_error_max,high,40.0,96,20,0.20833333333333334,0.4270833333333333,0.5729166666666666,0.85,0.05454545454545454,0.4146341463414634,1.9902439024390242
LeftElbow,1,reprojection_error_max,high,60.0,101,9,0.0891089108910891,0.13861386138613863,0.8613861386138614,0.3333333333333333,0.06896551724137931,0.21428571428571427,2.4047619047619047
LeftElbow,6,reprojection_error_max,high,60.0,96,20,0.20833333333333334,0.15625,0.84375,0.25,0.18518518518518517,0.3333333333333333,1.5999999999999999
LeftElbow,1,reprojection_error_max,high,80.0,101,9,0.0891089108910891,0.0,1.0,0.0,0.0891089108910891,nan,nan
LeftElbow,6,reprojection_error_max,high,80.0,96,20,0.20833333333333334,0.0,1.0,0.0,0.20833333333333334,nan,nan
RightElbow,1,detect_conf_min,low,0.1,104,0,0.0,0.0,1.0,nan,0.0,nan,nan
RightElbow,6,detect_conf_min,low,0.1,97,14,0.14432989690721648,0.0,1.0,0.0,0.14432989690721648,nan,nan
RightElbow,1,detect_conf_min,low,0.2,104,0,0.0,0.0,1.0,nan,0.0,nan,nan
RightElbow,6,detect_conf_min,low,0.2,97,14,0.14432989690721648,0.0,1.0,0.0,0.14432989690721648,nan,nan
RightElbow,1,detect_conf_min,low,0.3,104,0,0.0,0.08653846153846154,0.9134615384615384,nan,0.0,0.0,nan
RightElbow,6,detect_conf_min,low,0.3,97,14,0.14432989690721648,0.09278350515463918,0.9072164948453608,0.07142857142857142,0.14772727272727273,0.1111111111111111,0.7698412698412699
RightElbow,1,detect_conf_min,low,0.4,104,0,0.0,0.28846153846153844,0.7115384615384616,nan,0.0,0.0,nan
