stage,angle,k,valid_angle_ratio,n_delta_pairs,mean_delta_deg,p90_delta_deg,p95_delta_deg,high_delta_count,high_delta_rate
before,LeftElbow,1,0.9260978222063548,2582,9.568472790509212,24.843302390606503,38.39031747604053,161,0.06235476374903176
before,LeftElbow,6,0.9260978222063548,2542,20.621727303025985,49.3201161936997,64.5936241680147,479,0.1884343036978757
before,RightElbow,1,0.9375223134594788,2609,9.492768901768821,23.57407958786516,36.75240380982598,141,0.0540436949022614
before,RightElbow,6,0.9375223134594788,2571,21.995274471996243,48.704442245034755,68.93305043454592,512,0.19914430182808246
after,LeftElbow,1,0.9271688682613353,2587,8.342318525722936,21.027992568148658,33.32631006718366,119,0.04599922690374952
after,LeftElbow,6,0.9271688682613353,2548,18.45356022084129,45.016558535462586,59.92430660048263,399,0.1565934065934066
after,RightElbow,1,0.938236344162799,2613,8.221378453744714,20.100556395960584,30.962629948671417,97,0.0371220818982013
after,RightElbow,6,0.938236344162799,2575,20.123387449975958,44.86523968085764,58.96287182688486,434,0.16854368932038835
