AngleName,Scenario,Signal,N,MeanAngleError,MeanSignalValue
LeftShoulder,Baseline,pair_conf_min,372,18.467464239150388,0.659255360177272
LeftShoulder,Occlusion,pair_conf_min,645,15.225988173358488,0.5250183835657698
LeftShoulder,Environmental Interference,pair_conf_min,282,17.535001688193006,0.49109337415052606
LeftShoulder,Unclassified,pair_conf_min,1174,21.73239336916525,0.5940263388979948
LeftShoulder,Baseline,stereo_quality_min,372,18.467464239150388,0.5284167466512257
LeftShoulder,Occlusion,stereo_quality_min,645,15.225988173358488,0.39200683737426173
LeftShoulder,Environmental Interference,stereo_quality_min,282,17.535001688193006,0.41696129040486996
LeftShoulder,Unclassified,stereo_quality_min,1174,21.73239336916525,0.46471648972354296
LeftShoulder,Baseline,reprojection_error_max,372,18.467464239150388,2.4858358784788663
LeftShoulder,Occlusion,reprojection_error_max,645,15.225988173358488,2.7169547359781525
LeftShoulder,Environmental Interference,reprojection_error_max,282,17.535001688193006,1.2215399108210894
LeftShoulder,Unclassified,reprojection_error_max,1173,21.69264469923321,2.0986692163439677
LeftShoulder,Baseline,epipolar_error_max,372,18.467464239150388,6.853127997537061
LeftShoulder,Occlusion,epipolar_error_max,645,15.225988173358488,6.880424608211869
LeftShoulder,Environmental Interference,epipolar_error_max,282,17.535001688193006,2.8479025580297344
LeftShoulder,Unclassified,epipolar_error_max,1174,21.73239336916525,7.4503973869940605
LeftShoulder,Baseline,detect_conf_min,363,18.07952960976563,0.8717480285847483
LeftShoulder,Occlusion,detect_conf_min,635,15.279088574125144,0.6756949598130982
LeftShoulder,Environmental Interference,detect_conf_min,280,17.632545701094312,0.6466715904750995
LeftShoulder,Unclassified,detect_conf_min,1171,21.6249721972712,0.7631422233545913
LeftShoulder,Baseline,temporal_rescue_fraction,386,19.834849648604695,0.09378238341968911
LeftShoulder,Occlusion,temporal_rescue_fraction,645,15.225988173358488,0.16372093023255813
LeftShoulder,Environmental Interference,temporal_rescue_fraction,282,17.535001688193006,0.11773049645390071
LeftShoulder,Unclassified,temporal_rescue_fraction,1185,22.263879535485575,0.109873417721519
RightShoulder,Baseline,pair_conf_min,372,15.388446657942364,0.6462742839282597
RightShoulder,Occlusion,pair_conf_min,655,17.093958650403806,0.533795871920012
RightShoulder,Environmental Interference,pair_conf_min,282,12.638321854748346,0.6920663338071535
RightShoulder,Unclassified,pair_conf_min,1174,14.018151263317092,0.6203692749351716
RightShoulder,Baseline,stereo_quality_min,372,15.388446657942364,0.5003402414821051
RightShoulder,Occlusion,stereo_quality_min,655,17.093958650403806,0.3911858324299449
RightShoulder,Environmental Interference,stereo_quality_min,282,12.638321854748346,0.5770310038577029
RightShoulder,Unclassified,stereo_quality_min,1174,14.018151263317092,0.4823363264082728
RightShoulder,Baseline,reprojection_error_max,372,15.388446657942364,3.0997712666020103
RightShoulder,Occlusion,reprojection_error_max,655,17.093958650403806,2.921883862614951
RightShoulder,Environmental Interference,reprojection_error_max,282,12.638321854748346,1.360793322204401
RightShoulder,Unclassified,reprojection_error_max,1173,14.012069329849503,2.158013742202848
