angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,6,detect_conf_min,low,0.6,2542,479,0.1884343036978757,0.27576711250983477,0.7242328874901652,0.3966597077244259,0.15697990222705052,0.2710413694721826,1.4383865578252362
LeftElbow,1,pair_conf_min,low,0.1,2582,161,0.06235476374903176,0.011618900077459334,0.9883810999225406,0.0,0.06308777429467084,0.0,0.0
LeftElbow,6,pair_conf_min,low,0.1,2542,479,0.1884343036978757,0.013768686073957514,0.9862313139260425,0.010438413361169102,0.18907060231352213,0.14285714285714285,0.7581270504026244
LeftElbow,1,pair_conf_min,low,0.2,2582,161,0.06235476374903176,0.08326878388845856,0.9167312161115414,0.031055900621118012,0.06590621039290241,0.023255813953488372,0.37295969955221725
LeftElbow,6,pair_conf_min,low,0.2,2542,479,0.1884343036978757,0.0983477576711251,0.9016522423288749,0.1022964509394572,0.18760907504363003,0.196,1.0401503131524008
LeftElbow,1,pair_conf_min,low,0.3,2582,161,0.06235476374903176,0.15995352439969016,0.8400464756003099,0.16770186335403728,0.06177962194559705,0.06537530266343826,1.0484411892981216
LeftElbow,6,pair_conf_min,low,0.3,2542,479,0.1884343036978757,0.1809598741148702,0.8190401258851299,0.2609603340292276,0.17002881844380405,0.2717391304347826,1.4420894980484704
LeftElbow,1,pair_conf_min,low,0.4,2582,161,0.06235476374903176,0.2532920216886135,0.7467079783113865,0.453416149068323,0.04564315352697095,0.11162079510703364,1.7900925028966512
LeftElbow,6,pair_conf_min,low,0.4,2542,479,0.1884343036978757,0.27340676632572775,0.7265932336742722,0.4091858037578288,0.15322144017325393,0.2820143884892086,1.496619155614965
LeftElbow,1,pair_conf_min,low,0.5,2582,161,0.06235476374903176,0.33346243222308286,0.6665375677769171,0.5652173913043478,0.04067402672864614,0.10569105691056911,1.6949957077210525
LeftElbow,6,pair_conf_min,low,0.5,2542,479,0.1884343036978757,0.3662470495672699,0.6337529504327302,0.5615866388308977,0.1303538175046555,0.2889366272824919,1.5333547109647065
LeftElbow,1,pair_conf_min,low,0.6,2582,161,0.06235476374903176,0.4136328427575523,0.5863671572424477,0.6459627329192547,0.037648612945838836,0.09737827715355805,1.5616814385744526
LeftElbow,6,pair_conf_min,low,0.6,2542,479,0.1884343036978757,0.4394177812745869,0.560582218725413,0.6492693110647182,0.11789473684210526,0.2784243509400179,1.4775672235689465
LeftElbow,1,stereo_quality_min,low,0.05,2582,161,0.06235476374903176,0.06932610379550735,0.9306738962044926,0.11180124223602485,0.059508947149396585,0.1005586592178771,1.6126860751587495
LeftElbow,6,stereo_quality_min,low,0.05,2542,479,0.1884343036978757,0.08103855232100708,0.9189614476789929,0.12943632567849686,0.17851027397260275,0.30097087378640774,1.597219125605529
LeftElbow,1,stereo_quality_min,low,0.1,2582,161,0.06235476374903176,0.1123160340821069,0.8876839659178931,0.15527950310559005,0.059336823734729496,0.08620689655172414,1.3825230242021846
