label,path,n_frames,valid_joint_ratio,left_elbow_chain_valid_ratio,right_elbow_chain_valid_ratio,epipolar_p50_px,epipolar_p90_px,epipolar_p95_px,reprojection_p50_px,reprojection_p90_px,reprojection_p95_px,stereo_quality_mean,pair_conf_mean,left_k1_high_delta_rate,left_k6_high_delta_rate,right_k1_high_delta_rate,right_k6_high_delta_rate
YOLOv8m,01_stereo_triangulation/results/skt_model_fusion/yolo_120/yolo_3d_optimized.npz,120,0.7843137254901961,1.0,1.0,14.216773402357376,133.15278739685982,182.38173247412337,3.8633641777914063,16.61665784392344,24.985722079351845,0.23534635970027418,0.5709876480985742,0.008403361344537815,0.05263157894736842,0.0,0.03508771929824561
RTMPoseS,01_stereo_triangulation/results/skt_model_fusion/rtmlib_body_light_120/yolo_3d_optimized.npz,120,0.7480392156862745,0.85,0.8916666666666667,16.74858913554897,153.5968879330916,290.12307654952303,5.816459799355227,22.691753504345133,35.14755870434057,0.21974354659467288,0.6281380521926361,0.0891089108910891,0.20833333333333334,0.0,0.14432989690721648
